0	1	9751072248584610585	10939148	29713	2	2	86111	7418	8150	8294	444906
0	1	7903914528320191889	20896220	2010	1	1	26010815	43015	105978	85	55984
0	1	18077407651193720209	20762397	34000	3	2	75591	252573	1117532	1179545	143706
1	2	14340390157469404125	6435282	23777	1	1	3974	2714	36519	33854	16872400
0	1	999105727583572092	20389086	30428	1	1	1547932	1808	4293	4652	7939695
0	2	14340390157469404125	21360112	23777	2	1	12976400	578	1511	1174	1676971
0	1	2692859619851282505	4350802	2051	1	1	11577	935	2455	2709	170443
0	1	10821947969336699644	3732417	23282	1	1	12812965	36939	246178	177857	1387674
0	1	9751072248584610585	10850149	29713	3	1	6011	247	827	1469	2076221
0	1	3391379572335726638	20741829	34169	2	2	2202	1181	133501	3922	405538
0	1	5103335732153791879	10405659	29900	1	1	1486	33	23	26	678051
0	1	7903914528320191889	21162436	1325	2	2	598	2120	7135	8129	6233317
0	1	10349468651765658911	21522776	37422	2	1	0	0	25	4	11185048
0	1	17048721173511747779	4282119	24162	3	2	75	179	158	210	5070812
0	1	4660387735928845103	21329939	36540	3	1	1837987	5730	16025	15570	3029936
0	1	11038660142914585575	22095853	38505	3	3	121086	2081	22211	831	935077
0	1	16794704970244289131	5059558	26286	2	1	132247	250	303	527	3029996
0	1	13090221289647714786	20174982	23795	1	1	15341	3446	3	7	1082921
0	1	2434756320065278633	21173831	29273	3	1	1	3	98	69	6233969
0	1	17726715653219593155	21163892	9785	1	1	16044	153	317	1073	34457
0	3	4298118681424644510	3911890	385	2	2	4346595	495600	1181384	939971	5071226
0	1	14340390157469404125	9027213	23808	1	1	1	1	0	0	3030118
0	1	4298118681424644510	21866029	385	1	1	1283417	28930	59048	53311	11187496
0	1	14340390157469404125	21163921	23808	2	2	4451	2037	7293	38	3030166
0	1	11917549558620951937	21797899	26269	2	2	2201644	146377	1769144	795	211837
0	4	4203081172173603803	4427011	28647	2	1	4995	9066	13155	13802	639991
